,Track Name,Artist,Track ID,Popularity
1499,Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,81.0
1500,This Love,Maroon 5,6ECp64rv50XVz93WvxXMGF,83.0
1501,Wait,Maroon 5,6AvfZXpbb6r35DfF7gHPRq,59.0
1502,Wait (feat. A Boogie Wit da Hoodie),Maroon 5,0SvxydoxEEkXt9aMAqTfpB,45.0
1503,What Lovers Do,Maroon 5,2j5hsQvApottzvTn4pFJWF,66.0
1504,What Lovers Do (feat. SZA),Maroon 5,2j5hsQvApottzvTn4pFJWF,66.0
1505,Whiskey (feat. A$AP Rocky),Maroon 5,6zEOfBb85G0Vaau5skdAUG,40.0
1506,APPARTENGO - Il sangue (feat. Massimo Pericolo),Marracash,3A22uqfe8OfNkeqJj4Fmc1,49.0
1507,BODY PARTS - I denti,Marracash,20Jv9Gx73P618C5rYt2Tmx,55.0
1508,QUALCOSA IN CUI CREDERE - Lo scheletro (feat. Guè Pequeno),Marracash,1t6xoDooMgAqlYDOLTrsxj,53.0
1509,QUELLI CHE NON PENSANO - Il cervello (feat. Coez),Marracash,1VOi03r3FelbsYHJXFjphg,47.0
1510,SPORT - I muscoli (feat. Luchè),Marracash,21gfGAimNlE8qWZk0cal83,42.0
1511,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,5EpBEqf5bnKeJ3p4zA1Sod,52.0
1512,Alone,Marshmello,3MEYFivt6bilQ9q9mFWZ4g,72.0
1513,Be Kind (with Halsey),Marshmello,3Z8FwOEN59mRMxDCtb8N0A,74.0
1514,FRIENDS,Marshmello,08bNPGLD8AhKpnnERrAc6G,78.0
1515,Happier,Marshmello,7BqHUALzNBTanL6OvsqmC1,84.0
1516,Here With Me,Marshmello,5icOoE6VgqFKohjWWNp0Ac,73.0
1517,Leave Before You Love Me (with Jonas Brothers),Marshmello,4qu63nuBpdn0qHUHuObEj1,82.0
1518,Light It Up (with Tyga & Chris Brown),Marshmello,4Q8aDd3H6LF8t4eY7So9O8,55.0
1519,OK Not To Be OK,Marshmello,0zzVTGyRrWpQu8Fr28NRAv,66.0
1520,One Thing Right,Marshmello,4hPpVbbakQNv8YTHYaOJP4,71.0
1521,Project Dreams,Marshmello,6GSkLS2y4ZnnZsuRAj975K,63.0
1522,Proud,Marshmello,4YXKVaWzHaVyDq2pVS5cgR,52.0
1523,Silence,Marshmello,7vGuf3Y35N4wmASOKLUVVU,82.0
1524,Spotlight,Marshmello,6VrCmhRBFnuGKmtNfk4jDs,71.0
1525,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,7jzldCBnJjpJM3epzJ85KE,57.0
1526,Too Much (feat. Usher),Marshmello,39umHdGKfpnjY4TFtnoQ51,56.0
1527,You Can Cry,Marshmello,3ZbJMlEL4Kcme0ONRO7Slx,49.0
1528,Burn Out (feat. Dewain Whitmore),Martin Garrix,7IWTIkiWGWNQyYfOLdMrGD,55.0
1529,Dreamer,Martin Garrix,0wUxh6XMc698xPCfgBaPRV,47.0
1530,Drown (feat. Clinton Kane),Martin Garrix,4RVtBlHFKj51Ipvpfv5ER4,65.0
1531,High On Life (feat. Bonn),Martin Garrix,4ut5G4rgB1ClpMTMfjoIuy,71.0
1532,Higher Ground (feat. John Martin),Martin Garrix,0rohJsT6NWsThpukt0Xxdc,55.0
1533,Home (feat. Bonn),Martin Garrix,4aTtHoSBB0CuQGA6vXBNyp,51.0
1534,In the Name of Love,Martin Garrix,23L5CiUhw2jV1OIMwthR3S,81.0
1535,No Sleep (feat. Bonn),Martin Garrix,1ahVFh0ViDZr8LvkEVlq3B,61.0
1536,Ocean (feat. Khalid),Martin Garrix,3nc420PXjTdBV5TN0gCFkS,69.0
1537,Pizza,Martin Garrix,5oAgI7Pzg6vxuKrfapg3Pi,52.0
1538,Pressure (feat. Tove Lo),Martin Garrix,4ga4WvRNhMsIL38pkBbnIN,65.0
1539,Scared to Be Lonely,Martin Garrix,3ebXMykcMXOcLeJ9xZ17XH,78.0
1540,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,0OlnLZY4cmQzT6ZGttvWBM,66.0
1541,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,7Feaw9WAEREY0DUOSXJLOM,73.0
1542,There for You,Martin Garrix,6jA8HL9i4QGzsj6fjoxp8Y,67.0
1543,Used To Love (with Dean Lewis),Martin Garrix,7pWK1kMgHy5lNNiIfuRbkP,61.0
1544,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,Martin Garrix,2iL0W5qi0ivZ9WRXbZ74cS,60.0
1545,Nobody,Martin Jensen,2qfEcCkEo5NscA9GL7ER72,58.0
1546,Solo Dance,Martin Jensen,3R6dPfF2yBO8mHySW1XDAa,62.0
1547,Places,Martin Solveig,4QcDkuGQx9824a6X9BZF4e,61.0
1548,Barely Legal 2021,Marvin Divine,7kSBvPr9it26XjylB5LJkx,73.0
1549,Ain't No Mountain High Enough,Marvin Gaye,7tqhbajSfrz2F7E1Z75ASX,86.0
1550,Astronaut In The Ocean,Masked Wolf,3Ofmpyhv5UAQ70mENzB277,75.0
1551,Famous,Mason Ramsey,1lasE4yXQmZ5mwWdGQGn8E,43.0
1552,Jerusalema (feat. Nomcebo Zikode),Master KG,2MlOUXmcofMackX3bxfSwi,72.0
1553,Ao Vivo E A Cores,Matheus & Kauan,6jhZTGGw37atbaHoLsY9TD,59.0
1554,Baby Me Atende,Matheus Fernandes,1bWBG6IkMnDr3qvCKSvQT7,61.0
1555,Sucker for You,Matt Terry,5H9H0i7UCmRDCZRHldbmhN,56.0
1556,Break My Stride,Matthew Wilder,1mCsF9Tw4AkIZOjvZbZZdT,73.0
1557,777-666,Matuê,3sGcETRMuAgcPgjDpIkgMn,71.0
1558,Cogulândia,Matuê,5T6mY3sQbvVfLnertXdoST,63.0
1559,Máquina do Tempo,Matuê,5oI9blwsXC8AkTWw6wASY8,71.0
1560,Desconocidos,Mau y Ricky,56f5qnyAlZdlz8wrUDA50h,73.0
1561,La Boca,Mau y Ricky,0UQwlF2pRkr1lMN6kNNUj3,68.0
1562,La Boca - Remix,Mau y Ricky,2EEmzqzM70CybVspgM7YRT,59.0
1563,Mi Mala - Remix,Mau y Ricky,27xFMBWh15wyYGGAVrEMuK,58.0
1564,Blueberry Eyes (feat. SUGA of BTS),MAX,5dn6QANKbf76pANGjMBida,61.0
1565,Lights Down Low,MAX,5A6BJLZArq1MPjsnmcuk5f,61.0
1566,Love Me Less (feat. Quinn XCII),MAX,2tOOcDDYkh0PSjr6GwPEAJ,58.0
1567,Jogo do Amor,MC Bruninho,3MxbRHE1u74SoMNR9iURIZ,53.0
1568,Bipolar,Mc Davi,0qxLQ6opocOGyFnlXqJ53x,60.0
