,,Track Name,Artist,Track ID,Popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
33,3466,Una Lady Como Tú,Manuel Turizo,5jf0PmPCHefQ78uAzqIqbj,73,0.549,0.788,213027,0.477,0,4,0.349,-7.348,1,0.0434,94.983,4,0.86
34,3467,Bebi Liguei - Ao Vivo,Marília Mendonça,3RbXsVQr4jeTxvT35Hssq3,69,0.362,0.603,159780,0.804,0,0,0.743,-4.253,1,0.198,153.883,4,0.682
35,3468,Ciumeira - Ao Vivo,Marília Mendonça,7D5F5BzIon5zhzQrOU2pdN,68,0.204,0.741,190084,0.813,0,11,0.797,-4.83,0,0.0452,123.842,4,0.765
36,3469,Graveto - Ao Vivo,Marília Mendonça,3tc8Z4lGzOIwmIVftsxO6o,72,0.292,0.714,170877,0.632,0,9,0.812,-5.1,1,0.0312,93.052,4,0.402
37,3470,Quero Você do Jeito Que Quiser,Marília Mendonça,64I6t2tuUGnIlaDIzHJ6YI,61,0.501,0.698,215979,0.604,0,4,0.251,-4.574,1,0.0457,127.707,4,0.353
38,3471,Supera - Ao Vivo,Marília Mendonça,3GmJxfnUDrIs1iCfKUELFz,73,0.0604,0.665,147748,0.743,0,4,0.959,-4.434,1,0.0567,131.573,4,0.658
39,3472,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,4E6RdcCWMiHTu7zy1VTNDo,67,0.281,0.621,154661,0.743,0,3,0.411,-3.864,1,0.0738,111.454,4,0.581
40,3473,Troca de Calçada,Marília Mendonça,4AAIAVjSyiq1N7SXKkwXZe,71,0.539,0.659,203158,0.689,0,1,0.147,-4.984,0,0.0319,99.967,4,0.701
41,3474,Está Rico,Marc Anthony,2wRkBumdItthjYP9XknImg,61,0.266,0.817,215151,0.74,0,11,0.0992,-4.566,0,0.283,130.04,4,0.674
42,3475,You & Me,Marc E. Bassy,7yCqehT9dKACTFy7YugP0J,60,0.0413,0.449,218493,0.635,0,1,0.188,-8.301,1,0.275,84.414,4,0.608
43,3476,Tiroteo - Remix,Marc Seguí,4OwhwvKESFtuu06dTgct7i,81,0.282,0.75,321556,0.522,0,9,0.0743,-7.018,1,0.0293,110.427,4,0.601
44,3477,The Bones,Maren Morris,7yFhA2fUsL2oIMWlw5DaHQ,70,0.278,0.612,197293,0.57,0,11,0.0963,-6.642,0,0.0347,77.004,4,0.334
45,3478,"Não, Não Vou",Mari Fernandez,3qhfkFA2kkWtxIY5cjK7qY,0,0.427,0.631,173038,0.861,0.000119,11,0.215,-1.891,0,0.0424,149.95,4,0.822
46,3479,All I Want for Christmas Is You,Mariah Carey,7iKRL1F3m4t4dkMponnD0P,43,0.00113,0.548,215653,0.871,0,7,0.765,-4.253,1,0.0708,128.136,4,0.64
