Genre,Master Genre
"['melodic rap', 'philly rap', 'rap', 'trap']",Rap
['chicano rap'],Rap
"['uk pop', 'pop']",Pop
"['modern rock', 'indietronica', 'rock', 'modern alternative rock', 'pop']",Rock
"['rap', 'atl hip hop', 'pop rap', 'hip hop']",Rap
"['pop dance', 'tropical house', 'edm', 'dance pop', 'pop', 'electro house']",Pop
"['australian electropop', 'downtempo', 'australian dance', 'australian indie', 'edm']",Regional
"['pop', 'dance pop', 'post-teen pop', 'electropop']",Pop
"['big room', 'dance pop', 'edm', 'pop dance', 'pop']",Pop
"['seattle hip hop', 'pop rap']",Hip-Hop
"['reggaeton colombiano', 'colombian pop', 'reggaeton', 'trap latino', 'latin', 'latin pop']",Pop
"['Sorry', ""that one doesn't seem to be on any of these maps yet.""]",Regional
"['motown', 'soul']",R&B & Soul
"['modern rock', 'pop rap']",Rock
"['indie cafe pop', 'pop', 'viral pop', 'neo mellow']",Pop
"['pop rap', 'rap', 'social media pop']",Rap
"['progressive electro house', 'swedish pop', 'edm', 'pop dance']",Pop
"['motown', 'soul', 'northern soul', 'quiet storm', 'indie r&b', 'classic soul', 'funk']",R&B & Soul
"['electropop', 'indie poptimism', 'alt z', 'pop', 'dance pop']",Pop
"['rap', 'atl hip hop', 'trap', 'pop rap', 'southern hip hop']",Rap
['dancehall'],Regional
"['mexican pop', 'latin pop', 'latin', 'dance pop']",Pop
"['miami hip hop', 'dance pop', 'pop rap', 'pop']",Pop
['pop edm'],Pop
"['dance pop', 'pop', 'neo soul']",Pop
"['cubaton', 'latin', 'latin hip hop', 'latin pop']",Hip-Hop
"['slap house', 'rap']",Rap
"['electronic trap', 'edm', 'future bass', 'vapor twitch', 'pop dance', 'pop edm', 'electropop', 'electro house']",Pop
"['swedish tropical house', 'deep tropical house', 'tropical house']",Regional
"['pop soul', 'australian pop']",Pop
"['pop', 'uk pop', 'dance pop', 'post-teen pop', 'tropical house', 'pop dance']",Pop
"['pop rap', 'pop', 'r&b', 'electropop', 'rap']",Pop
"['dance pop', 'dancehall', 'pop rap', 'pop']",Pop
"['tropical house', 'pop dance', 'pop', 'edm']",Pop
"['brostep', 'edm', 'electro', 'complextro', 'pop dance']",Pop
"['pop', 'swedish electropop', 'electropop', 'dance pop', 'metropopolis', 'swedish synthpop', 'post-teen pop', 'swedish pop', 'pop rap']",Pop
['tropical house'],Regional
"['detroit hip hop', 'rap', 'hip hop']",Hip-Hop
"['indietronica', 'escape room', 'new rave', 'dance pop']",Pop
"['pop', 'neo mellow', 'pop rock', 'modern rock']",Pop
"['chicago rap', 'rap']",Rap
"['pop dance', 'tropical house', 'edm', 'pop edm', 'house', 'electro house', 'deep groove house', 'dance pop', 'progressive house']",Pop
"['dfw rap', 'melodic rap', 'rap']",Rap
"['pop r&b', 'trap soul', 'post-teen pop', 'r&b', 'chill r&b', 'alternative r&b', 'urban contemporary', 'afroswing', 'dance pop', 'hip pop']",R&B & Soul
"['motown', 'soul', 'quiet storm', 'indie r&b', 'funk']",R&B & Soul
"['rap', 'hip hop', 'east coast hip hop', 'pop rap']",Hip-Hop
"['uk pop', 'pop', 'neo mellow', 'indie cafe pop', 'tropical house', 'pop rock']",Pop
"['pop dance', 'edm', 'canadian electronic', 'slap house', 'electro house', 'tropical house', 'pop edm', 'dance pop']",Pop
['german pop'],Pop
"['folk-pop', 'neo mellow', 'pop rock', 'pop']",Pop
"['pop', 'uk pop', 'post-teen pop', 'dance pop']",Pop
"['channel islands indie', 'vapor soul']",R&B & Soul
"['dance rock', 'permanent wave', 'modern rock', 'rock']",Rock
"['kentucky hip hop', 'rap', 'pop rap', 'r&b', 'trap', 'pop']",Hip-Hop
"['irish singer-songwriter', 'pop', 'modern rock']",Rock
['australian pop'],Pop
"['indie electropop', 'nyc pop', 'vapor pop', 'indie poptimism', 'electropop', 'vapor soul', 'metropopolis', 'alt z', 'brooklyn indie', 'indie pop']",Pop
"['pop rap', 'dance pop', 'pop', 'r&b', 'rap']",Pop
